#      x(A)         y(A)        z(A)
    6.903899   -9.078600   -3.708000
   -0.824001    3.453290   -8.132970 
   -7.088599    3.974400    7.698500
   -3.389801   -4.965401    6.607599   
   -8.329299   -3.364801   -3.517900  
    0.021727   -1.402150    6.099600 
   -4.614801    4.799500   -5.987999
   -3.460400    2.584460   -7.581340   
    4.806630    0.250999    1.782880  
   -8.130301   -5.097198   -5.572499 
   -7.961800    0.082602   -3.556799
   -7.803100   -3.944840    0.929201   
    2.032101    1.615880    7.901099  
    7.951500   -6.542140    2.066599 
   -8.634199    3.698097   -8.612680
    9.259740   -5.000860   -1.544040   
    3.578300   -6.467699   -3.475040  
   -5.551310    4.912201    5.115200 
    6.713100   -3.465099    8.649799
    6.561699   -5.694330   -0.516194   
    5.566000    2.400000   -3.350599  
   -1.399620    1.245701    0.854401 
    8.475400    7.474270   -6.998420
    7.303299   -1.144999    1.784199   
   -4.873400   -1.801350   -9.313689  
    7.725490    3.659400   -2.084400 
    3.880670   -3.633101    5.048199
   -8.533100   -0.028795   -7.459199   
   -6.597280    5.389000    1.497402  
   -4.714100   -9.288840    3.088699 
   -2.060400   -0.004601    3.120099
    1.182190    7.060999   -3.023300   
   -3.098200    6.731190    7.681910  
    4.314300   -7.579500    4.424390 
   -1.894100   -8.057199    3.439201
   -7.199310    4.846100   -1.196530   
   -1.084190   -5.604400    0.367001  
    2.149599   -5.946300    5.450750 
   -0.668894    8.435200   -7.836140
    8.732400   -7.128499   -3.263100   
    6.494299   -3.966599   -2.946100  
   -5.117190    3.261101   -1.906301 
    6.961710    0.386497   -0.239799
    3.380690    6.216702   -1.652330   
   -0.065998   -6.157320    3.660799  
    5.554899    5.750500    1.771700 
   -3.084900    3.243070    0.408990
    1.706799    4.824630   -7.862399   
   -2.671900   -4.483910   -5.599299  
    5.106300   -9.043520   -5.921299 
    5.596600   -9.116059    8.199690
    0.808055   -0.485201   -7.240398   
   -9.250030   -6.557300    7.946100  
    5.752298    2.449430    6.512299 
   -9.120520    4.677402    5.680499
    6.243599    6.995600    8.600499   
   -1.643803   -3.801399    3.317499  
   -9.282460   -8.923759   -9.269699 
   -6.858600   -2.683701    6.524101
    5.401070    7.295110   -7.307798  
    0.277700    5.746499   -5.247899 
   -3.883099   -0.274799    0.118801
    4.010900   -2.896900   -2.521980   
    3.980999   -3.142280    8.745100  
   -7.751599   -2.385201    3.410899 
    1.397800   -6.989498   -7.815000
    9.217569   -8.482200   -6.471100   
   -3.341801   -6.127199    1.873800  
   -6.657101   -3.047500   -1.443600 
   -8.932030    7.446600    1.822800
    9.190399    7.004780    8.971880   
    6.823680    4.606201   -8.396320  
    6.190920    8.718770    0.899229 
    1.913898    9.100399   -7.773930
    9.217410   -0.238800    3.381100   
   -8.794300   -4.141450    5.293602  
   -8.779202    2.603798   -4.837597 
   -6.691803    2.197030   -6.730380
    7.214302    6.873699   -4.504299   
   -7.647701   -6.181230    3.828500  
   -1.906494    0.757424   -5.559299 
    5.521301    8.720400    3.760300
    7.930300   -6.102802   -5.561850   
    4.934500    5.296200   -3.642799  
    0.741767   -4.995930   -5.965202 
   -3.198700   -0.214203   -7.783099
    0.005100    2.892150   -5.635560   
    6.461600   -7.844799   -7.827999  
    0.636700   -0.398899   -2.102701 
   -5.981870   -0.482554   -1.969398
   -7.357401    3.432699    3.767200   
   -1.290840    8.329200    4.904202  
    4.602001    4.134098    8.478610 
    3.449100    8.462101    0.400101
    8.171600   -1.402397   -4.217199   
    2.897697    8.827920    8.397470  
    5.471280   -0.597000    9.186710 
    3.009598    4.073500    2.998199
    2.655700    7.863099   -5.464302   
   -2.346630   -3.546200   -9.178101  
    2.274290   -4.856300   -1.964798 
   -8.964998   -1.345220    8.290199
    9.294020    5.592610   -2.997601   
   -6.498798   -1.118200   -5.566560  
    7.665099    9.260698    5.244490 
   -7.390480    0.709428    4.709900
   -3.242901   -0.479799   -3.459650   
   -0.767000   -7.687799   -1.860680  
    3.504940   -3.550600    2.078400 
   -4.048080   -2.102890   -5.228530
   -4.629899    7.828201   -0.778603   
   -1.617699    7.473399    0.307522  
    2.260090    9.278020    2.555450 
    3.694699   -5.813590   -9.060649
    8.213599    7.276598   -0.641197   
    2.661198   -1.160670    2.960840  
   -3.266401   -5.802980   -7.837699 
    5.156300    4.501750   -0.554362
    0.960535   -3.856750    0.228498   
    0.079903   -1.686703    3.293480  
    3.833199    2.571400    0.858283 
    6.466799   -3.796999   -5.903099
   -6.721130   -8.018100   -8.949499   
    6.298550    5.916340    5.562199  
    8.740280    1.382180    8.474500 
   -7.174999    0.865900    7.544901
   -3.656300    7.715599   -3.646130   
   -6.011299    6.857230   -7.326010  
   -5.388200   -9.192910    7.149599 
   -4.567560    2.138599    8.121220
   -2.594999   -5.955650   -3.271500   
   -1.004599    3.585099    5.684401  
    4.493550   -5.880901   -5.875999 
   -3.435740    4.070899    6.636099
   -0.091000    7.264900    2.670998   
    1.869101   -1.481530    0.127263  
    8.315401   -2.828400   -7.792970 
    3.564301    6.526598    4.309700
   -1.698510    3.548300   -2.079399   
   -1.457302    5.947100   -8.909300  
   -7.175150    7.100020    5.709180 
   -1.289700   -2.095100   -6.986300
   -4.606197   -4.997898   -0.250599   
    9.130850   -8.453899    0.333500  
    7.408899   -0.238901   -7.185501 
   -7.911300   -7.924910    5.913540
   -4.457430    1.326030    2.818090   
   -6.252899   -8.519220   -0.885000  
   -2.672400    5.072570   -4.195200 
   -4.218760   -2.549601    6.080710
    4.231690   -0.483882   -1.208302   
    8.602200    2.506800    0.658100  
    0.497301   -6.130299    7.478840 
    7.864799    3.995099    7.643099
    0.657799    2.371300   -2.042299   
   -6.710199    4.809330   -4.263599  
   -7.046710    7.722498   -4.544001 
   -6.472000   -8.698190   -6.268340
    2.747310    3.019699   -5.185900   
   -1.250099    8.211395   -2.131599  
   -4.393899    8.363999   -9.009300 
    4.024101    2.689930   -7.626080
    7.763900    4.407499    2.367001   
    3.126900    1.481930   -2.790990  
   -9.156929    4.820260   -6.330799 
    3.025002    6.153770    7.292299
    7.769480   -2.037800   -1.472099   
    5.189301   -7.691700   -1.792702  
    1.206600   -7.311399    1.354500 
   -3.128620    4.742499    2.999000
   -3.381001   -7.330350    8.205099   
    1.209103    2.161999    0.613046  
   -3.777740   -8.399290   -6.874499 
   -3.427700   -0.277100    7.489699
   -0.425400   -2.232201   -4.056900   
    7.543500    1.148010   -4.753160  
    8.997400    7.033620    4.316030 
    4.993400   -5.814699    1.796801
   -6.169600   -4.587799   -7.532898   
   -4.287850    6.944200    1.744701  
    2.568960    0.887499    5.201101 
    2.135000   -2.988500   -4.432598
   -8.365700    9.300400   -2.473000   
    3.388299   -6.703600   -0.174625  
   -7.585699   -4.496300    8.869749 
   -5.556799   -4.000603   -3.946640
    3.555300    5.586499   -6.055798   
